,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Notas,TC,CaG,Dist,FK,Temporada,Equipe
1,2023-08-19,15:30,Bundesliga,Rodada da semana 1,sáb,Em casa,V,3.0,2.0,RB Leipzig,1.4,1.6,44.0,29.464,Lukáš Hrádecký,3-4-2003,Felix Brych,Relatório da Partida,,11.0,7.0,190.0,0.0,2024,Bayer Leverkusen
2,2023-08-26,18:30,Bundesliga,Rodada da semana 2,sáb,Visitante,V,3.0,0.0,M'Gladbach,2.7,0.9,60.0,54.042,Lukáš Hrádecký,3-4-2003,Christian Dingert,Relatório da Partida,,24.0,11.0,158.0,0.0,2024,Bayer Leverkusen
3,2023-09-02,15:30,Bundesliga,Rodada da semana 3,sáb,Em casa,V,5.0,1.0,Darmstadt 98,2.8,0.4,72.0,29.653,Lukáš Hrádecký,3-4-2003,Sven Jablonski,Relatório da Partida,,25.0,13.0,173.0,1.0,2024,Bayer Leverkusen
4,2023-09-15,20:30,Bundesliga,Rodada da semana 4,sex,Visitante,E,2.0,2.0,Bayern Munich,2.1,2.1,49.0,75.0,Lukáš Hrádecký,3-4-2003,Daniel Schlager,Relatório da Partida,,12.0,4.0,207.0,1.0,2024,Bayer Leverkusen
6,2023-09-24,15:30,Bundesliga,Rodada da semana 5,dom,Em casa,V,4.0,1.0,Heidenheim,3.4,0.5,71.0,29.557,Lukáš Hrádecký,3-4-2003,Christian Dingert,Relatório da Partida,,20.0,9.0,167.0,0.0,2024,Bayer Leverkusen
7,2023-09-30,15:30,Bundesliga,Rodada da semana 6,sáb,Visitante,V,3.0,0.0,Mainz 05,1.1,0.5,55.0,33.305,Lukáš Hrádecký,3-4-2003,Benjamin Brand,Relatório da Partida,,6.0,3.0,206.0,2.0,2024,Bayer Leverkusen
9,2023-10-08,15:30,Bundesliga,Rodada da semana 7,dom,Em casa,V,3.0,0.0,Köln,3.2,1.3,64.0,30.21,Lukáš Hrádecký,3-4-2003,Felix Zwayer,Relatório da Partida,,23.0,10.0,166.0,0.0,2024,Bayer Leverkusen
10,2023-10-21,15:30,Bundesliga,Rodada da semana 8,sáb,Visitante,V,2.0,1.0,Wolfsburg,1.9,1.4,58.0,28.917,Lukáš Hrádecký,3-4-2003,Marco Fritz,Relatório da Partida,,13.0,7.0,141.0,0.0,2024,Bayer Leverkusen
12,2023-10-29,17:30,Bundesliga,Rodada da semana 9,dom,Em casa,V,2.0,1.0,Freiburg,1.4,0.9,70.0,30.21,Lukáš Hrádecký,3-4-2003,Daniel Siebert,Relatório da Partida,,18.0,4.0,205.0,1.0,2024,Bayer Leverkusen
14,2023-11-04,15:30,Bundesliga,Rodada da semana 10,sáb,Visitante,V,3.0,2.0,Hoffenheim,1.0,1.7,53.0,30.15,Lukáš Hrádecký,3-4-2003,Frank Willenborg,Relatório da Partida,,9.0,5.0,178.0,0.0,2024,Bayer Leverkusen
16,2023-11-12,15:30,Bundesliga,Rodada da semana 11,dom,Em casa,V,4.0,0.0,Union Berlin,2.4,0.0,69.0,29.387,Lukáš Hrádecký,3-4-2003,Timo Gerach,Relatório da Partida,,18.0,10.0,156.0,1.0,2024,Bayer Leverkusen
17,2023-11-25,15:30,Bundesliga,Rodada da semana 12,sáb,Visitante,V,3.0,0.0,Werder Bremen,1.0,0.2,59.0,42.1,Lukáš Hrádecký,3-4-2003,Martin Petersen,Relatório da Partida,,14.0,4.0,168.0,0.0,2024,Bayer Leverkusen
19,2023-12-03,17:30,Bundesliga,Rodada da semana 13,dom,Em casa,E,1.0,1.0,Dortmund,2.1,0.7,69.0,30.21,Lukáš Hrádecký,3-4-2003,Daniel Siebert,Relatório da Partida,,23.0,6.0,203.0,1.0,2024,Bayer Leverkusen
21,2023-12-10,15:30,Bundesliga,Rodada da semana 14,dom,Visitante,E,1.0,1.0,Stuttgart,1.3,2.6,48.0,54.5,Lukáš Hrádecký,3-4-2003,Deniz Aytekin,Relatório da Partida,,18.0,5.0,149.0,0.0,2024,Bayer Leverkusen
23,2023-12-17,17:30,Bundesliga,Rodada da semana 15,dom,Em casa,V,3.0,0.0,Eint Frankfurt,2.5,0.2,61.0,30.21,Lukáš Hrádecký,3-4-2003,Christian Dingert,Relatório da Partida,,14.0,5.0,161.0,1.0,2024,Bayer Leverkusen
24,2023-12-20,20:30,Bundesliga,Rodada da semana 16,qua,Em casa,V,4.0,0.0,Bochum,3.3,0.4,69.0,30.21,Lukáš Hrádecký,3-4-1-2,Daniel Schlager,Relatório da Partida,,15.0,7.0,139.0,0.0,2024,Bayer Leverkusen
25,2024-01-13,15:30,Bundesliga,Rodada da semana 17,sáb,Visitante,V,1.0,0.0,Augsburg,2.0,0.4,76.0,30.055,Lukáš Hrádecký,3-4-1-2,Sven Jablonski,Relatório da Partida,,24.0,6.0,179.0,0.0,2024,Bayer Leverkusen
26,2024-01-20,18:30,Bundesliga,Rodada da semana 18,sáb,Visitante,V,3.0,2.0,RB Leipzig,2.0,1.6,60.0,46.529,Lukáš Hrádecký,3-4-2003,Matthias Jöllenbeck,Relatório da Partida,,18.0,5.0,158.0,0.0,2024,Bayer Leverkusen
27,2024-01-27,18:30,Bundesliga,Rodada da semana 19,sáb,Em casa,E,0.0,0.0,M'Gladbach,2.9,0.3,75.0,30.21,Robert Andrich,3-4-2003,Deniz Aytekin,Relatório da Partida,,28.0,9.0,188.0,0.0,2024,Bayer Leverkusen
28,2024-02-03,15:30,Bundesliga,Rodada da semana 20,sáb,Visitante,V,2.0,0.0,Darmstadt 98,1.9,0.6,67.0,17.81,Lukáš Hrádecký,3-4-2003,Tobias Reichel,Relatório da Partida,,20.0,7.0,181.0,0.0,2024,Bayer Leverkusen
30,2024-02-10,18:30,Bundesliga,Rodada da semana 21,sáb,Em casa,V,3.0,0.0,Bayern Munich,1.3,0.6,39.0,30.21,Lukáš Hrádecký,3-4-2003,Felix Zwayer,Relatório da Partida,,14.0,8.0,164.0,0.0,2024,Bayer Leverkusen
31,2024-02-17,15:30,Bundesliga,Rodada da semana 22,sáb,Visitante,V,2.0,1.0,Heidenheim,1.9,0.4,61.0,15.0,Lukáš Hrádecký,3-4-1-2,Harm Osmers,Relatório da Partida,,18.0,3.0,157.0,0.0,2024,Bayer Leverkusen
32,2024-02-23,20:30,Bundesliga,Rodada da semana 23,sex,Em casa,V,2.0,1.0,Mainz 05,1.2,0.9,67.0,30.21,Lukáš Hrádecký,3-4-2003,Timo Gerach,Relatório da Partida,,17.0,7.0,201.0,1.0,2024,Bayer Leverkusen
1,2023-08-18,20:30,Bundesliga,Rodada da semana 1,sex,Visitante,V,4.0,0.0,Werder Bremen,2.8,0.6,72.0,42.1,Joshua Kimmich,4-2-3-1,Felix Zwayer,Relatório da Partida,,25.0,10.0,191.0,1.0,2024,Bayern Munich
2,2023-08-27,17:30,Bundesliga,Rodada da semana 2,dom,Em casa,V,3.0,1.0,Augsburg,2.8,0.7,61.0,75.0,Joshua Kimmich,4-2-3-1,Daniel Siebert,Relatório da Partida,,18.0,4.0,190.0,0.0,2024,Bayern Munich
3,2023-09-02,18:30,Bundesliga,Rodada da semana 3,sáb,Visitante,V,2.0,1.0,M'Gladbach,2.4,0.3,65.0,54.042,Thomas Müller,4-2-3-1,Deniz Aytekin,Relatório da Partida,,25.0,7.0,150.0,0.0,2024,Bayern Munich
4,2023-09-15,20:30,Bundesliga,Rodada da semana 4,sex,Em casa,E,2.0,2.0,Leverkusen,2.1,2.1,51.0,75.0,Thomas Müller,4-2-3-1,Daniel Schlager,Relatório da Partida,,16.0,9.0,131.0,0.0,2024,Bayern Munich
6,2023-09-23,15:30,Bundesliga,Rodada da semana 5,sáb,Em casa,V,7.0,0.0,Bochum,4.8,0.1,62.0,75.0,Joshua Kimmich,4-2-3-1,Robert Hartmann,Relatório da Partida,,25.0,14.0,147.0,0.0,2024,Bayern Munich
8,2023-09-30,18:30,Bundesliga,Rodada da semana 6,sáb,Visitante,E,2.0,2.0,RB Leipzig,2.3,0.7,65.0,47.069,Joshua Kimmich,4-2-3-1,Marco Fritz,Relatório da Partida,,10.0,4.0,211.0,1.0,2024,Bayern Munich
10,2023-10-08,17:30,Bundesliga,Rodada da semana 7,dom,Em casa,V,3.0,0.0,Freiburg,2.4,0.1,69.0,75.0,Thomas Müller,4-2-3-1,Robert Schröder,Relatório da Partida,,21.0,6.0,177.0,0.0,2024,Bayern Munich
11,2023-10-21,18:30,Bundesliga,Rodada da semana 8,sáb,Visitante,V,3.0,1.0,Mainz 05,1.8,1.1,62.0,33.305,Joshua Kimmich,4-2-3-1,Sascha Stegemann,Relatório da Partida,,13.0,5.0,173.0,0.0,2024,Bayern Munich
13,2023-10-28,15:30,Bundesliga,Rodada da semana 9,sáb,Em casa,V,8.0,0.0,Darmstadt 98,5.8,0.7,54.0,75.0,Manuel Neuer,4-2-3-1,Martin Petersen,Relatório da Partida,,29.0,16.0,171.0,3.0,2024,Bayern Munich
15,2023-11-04,18:30,Bundesliga,Rodada da semana 10,sáb,Visitante,V,4.0,0.0,Dortmund,3.2,1.0,51.0,81.365,Manuel Neuer,4-2-3-1,Deniz Aytekin,Relatório da Partida,,14.0,8.0,122.0,0.0,2024,Bayern Munich
17,2023-11-11,15:30,Bundesliga,Rodada da semana 11,sáb,Em casa,V,4.0,2.0,Heidenheim,2.0,0.9,72.0,75.0,Manuel Neuer,4-2-3-1,Harm Osmers,Relatório da Partida,,19.0,8.0,138.0,0.0,2024,Bayern Munich
18,2023-11-24,20:30,Bundesliga,Rodada da semana 12,sex,Visitante,V,1.0,0.0,Köln,3.5,0.2,68.0,50.0,Manuel Neuer,4-2-3-1,Marco Fritz,Relatório da Partida,,21.0,4.0,127.0,0.0,2024,Bayern Munich
20,2023-12-09,15:30,Bundesliga,Rodada da semana 14,sáb,Visitante,D,1.0,5.0,Eint Frankfurt,2.1,1.3,64.0,58.0,Manuel Neuer,4-2-3-1,Felix Zwayer,Relatório da Partida,,20.0,4.0,149.0,0.0,2024,Bayern Munich
22,2023-12-17,19:30,Bundesliga,Rodada da semana 15,dom,Em casa,V,3.0,0.0,Stuttgart,2.8,0.4,38.0,75.0,Manuel Neuer,4-2-3-1,Tobias Stieler,Relatório da Partida,,17.0,8.0,143.0,1.0,2024,Bayern Munich
23,2023-12-20,20:30,Bundesliga,Rodada da semana 16,qua,Visitante,V,2.0,1.0,Wolfsburg,2.5,0.3,61.0,28.917,Manuel Neuer,4-2-3-1,Sascha Stegemann,Relatório da Partida,,21.0,7.0,179.0,2.0,2024,Bayern Munich
24,2024-01-12,20:30,Bundesliga,Rodada da semana 17,sex,Em casa,V,3.0,0.0,Hoffenheim,2.8,1.2,61.0,75.0,Manuel Neuer,4-2-3-1,Benjamin Brand,Relatório da Partida,,27.0,11.0,176.0,0.0,2024,Bayern Munich
25,2024-01-21,15:30,Bundesliga,Rodada da semana 18,dom,Em casa,D,0.0,1.0,Werder Bremen,1.9,0.4,68.0,75.0,Manuel Neuer,4-2-3-1,Marco Fritz,Relatório da Partida,,22.0,7.0,156.0,1.0,2024,Bayern Munich
26,2024-01-24,20:30,Bundesliga,Rodada da semana 13,qua,Em casa,V,1.0,0.0,Union Berlin,2.1,0.2,72.0,75.0,Manuel Neuer,4-2-3-1,Frank Willenborg,Relatório da Partida,,22.0,10.0,166.0,0.0,2024,Bayern Munich
27,2024-01-27,15:30,Bundesliga,Rodada da semana 19,sáb,Visitante,V,3.0,2.0,Augsburg,2.3,2.6,58.0,30.66,Manuel Neuer,4-2-3-1,Christian Dingert,Relatório da Partida,,13.0,4.0,142.0,0.0,2024,Bayern Munich
28,2024-02-03,15:30,Bundesliga,Rodada da semana 20,sáb,Em casa,V,3.0,1.0,M'Gladbach,2.1,1.0,55.0,75.0,Manuel Neuer,4-2-3-1,Tobias Stieler,Relatório da Partida,,20.0,6.0,179.0,1.0,2024,Bayern Munich
29,2024-02-10,18:30,Bundesliga,Rodada da semana 21,sáb,Visitante,D,0.0,3.0,Leverkusen,0.6,1.3,61.0,30.21,Manuel Neuer,3-4-2003,Felix Zwayer,Relatório da Partida,,9.0,1.0,172.0,0.0,2024,Bayern Munich
31,2024-02-18,17:30,Bundesliga,Rodada da semana 22,dom,Visitante,D,2.0,3.0,Bochum,3.3,1.7,68.0,26.0,Manuel Neuer,4-2-3-1,Daniel Schlager,Relatório da Partida,,27.0,9.0,146.0,0.0,2024,Bayern Munich
32,2024-02-24,18:30,Bundesliga,Rodada da semana 23,sáb,Em casa,V,2.0,1.0,RB Leipzig,1.4,0.7,57.0,75.0,Manuel Neuer,4-2-3-1,Sascha Stegemann,Relatório da Partida,,16.0,4.0,167.0,0.0,2024,Bayern Munich
1,2023-08-19,15:30,Bundesliga,Rodada da semana 1,sáb,Em casa,V,5.0,0.0,Bochum,3.0,0.8,60.0,53.0,Waldemar Anton,4-2-3-1,Daniel Siebert,Relatório da Partida,,21.0,9.0,166.0,0.0,2024,Stuttgart
2,2023-08-25,20:30,Bundesliga,Rodada da semana 2,sex,Visitante,D,1.0,5.0,RB Leipzig,1.1,1.8,46.0,46.084,Waldemar Anton,4-2-3-1,Frank Willenborg,Relatório da Partida,,9.0,3.0,171.0,0.0,2024,Stuttgart
3,2023-09-02,15:30,Bundesliga,Rodada da semana 3,sáb,Em casa,V,5.0,0.0,Freiburg,1.7,1.0,48.0,54.3,Waldemar Anton,4-2-3-1,Felix Brych,Relatório da Partida,,13.0,6.0,191.0,0.0,2024,Stuttgart
4,2023-09-16,15:30,Bundesliga,Rodada da semana 4,sáb,Visitante,V,3.0,1.0,Mainz 05,1.6,0.9,60.0,30.5,Waldemar Anton,4-2-3-1,Harm Osmers,Relatório da Partida,,15.0,6.0,215.0,1.0,2024,Stuttgart
5,2023-09-22,20:30,Bundesliga,Rodada da semana 5,sex,Em casa,V,3.0,1.0,Darmstadt 98,2.3,0.2,58.0,54.0,Waldemar Anton,4-2-3-1,Matthias Jöllenbeck,Relatório da Partida,,18.0,11.0,163.0,0.0,2024,Stuttgart
6,2023-09-30,15:30,Bundesliga,Rodada da semana 6,sáb,Visitante,V,2.0,0.0,Köln,2.5,0.7,60.0,50.0,Waldemar Anton,4-2-3-1,Tobias Stieler,Relatório da Partida,,18.0,4.0,162.0,0.0,2024,Stuttgart
7,2023-10-07,15:30,Bundesliga,Rodada da semana 7,sáb,Em casa,V,3.0,1.0,Wolfsburg,2.7,1.2,59.0,52.0,Waldemar Anton,4-2-3-1,Daniel Siebert,Relatório da Partida,,13.0,7.0,206.0,0.0,2024,Stuttgart
8,2023-10-21,15:30,Bundesliga,Rodada da semana 8,sáb,Visitante,V,3.0,0.0,Union Berlin,1.4,0.6,57.0,22.012,Waldemar Anton,4-2-3-1,Bastian Dankert,Relatório da Partida,,10.0,5.0,169.0,0.0,2024,Stuttgart
9,2023-10-28,15:30,Bundesliga,Rodada da semana 9,sáb,Em casa,D,2.0,3.0,Hoffenheim,3.6,1.7,73.0,53.2,Waldemar Anton,4-2-3-1,Felix Zwayer,Relatório da Partida,,22.0,9.0,182.0,0.0,2024,Stuttgart
11,2023-11-05,17:30,Bundesliga,Rodada da semana 10,dom,Visitante,D,0.0,2.0,Heidenheim,2.6,1.2,68.0,15.0,Waldemar Anton,4-2-3-1,Florian Badstübner,Relatório da Partida,,16.0,1.0,164.0,2.0,2024,Stuttgart
12,2023-11-11,15:30,Bundesliga,Rodada da semana 11,sáb,Em casa,V,2.0,1.0,Dortmund,4.2,1.0,59.0,55.0,Waldemar Anton,4-2-2-2,Tobias Stieler,Relatório da Partida,,20.0,8.0,148.0,0.0,2024,Stuttgart
13,2023-11-25,18:30,Bundesliga,Rodada da semana 12,sáb,Visitante,V,2.0,1.0,Eint Frankfurt,2.3,0.9,43.0,58.0,Waldemar Anton,4-4-2002,Felix Brych,Relatório da Partida,,11.0,4.0,173.0,0.0,2024,Stuttgart
14,2023-12-02,18:30,Bundesliga,Rodada da semana 13,sáb,Em casa,V,2.0,0.0,Werder Bremen,3.5,0.8,58.0,54.5,Waldemar Anton,4-2-2-2,Bastian Dankert,Relatório da Partida,,18.0,5.0,156.0,0.0,2024,Stuttgart
16,2023-12-10,15:30,Bundesliga,Rodada da semana 14,dom,Em casa,E,1.0,1.0,Leverkusen,2.6,1.3,52.0,54.5,Waldemar Anton,4-2-3-1,Deniz Aytekin,Relatório da Partida,,22.0,10.0,201.0,1.0,2024,Stuttgart
17,2023-12-17,19:30,Bundesliga,Rodada da semana 15,dom,Visitante,D,0.0,3.0,Bayern Munich,0.4,2.8,62.0,75.0,Waldemar Anton,4-2-2-2,Tobias Stieler,Relatório da Partida,,6.0,2.0,170.0,0.0,2024,Stuttgart
18,2023-12-20,20:30,Bundesliga,Rodada da semana 16,qua,Em casa,V,3.0,0.0,Augsburg,2.6,0.2,66.0,53.6,Waldemar Anton,4-4-2002,Daniel Siebert,Relatório da Partida,,17.0,8.0,177.0,0.0,2024,Stuttgart
19,2024-01-14,17:30,Bundesliga,Rodada da semana 17,dom,Visitante,D,1.0,3.0,M'Gladbach,0.9,1.9,71.0,53.429,Waldemar Anton,4-2-3-1,Harm Osmers,Relatório da Partida,,15.0,2.0,210.0,2.0,2024,Stuttgart
20,2024-01-20,15:30,Bundesliga,Rodada da semana 18,sáb,Visitante,D,0.0,1.0,Bochum,1.4,0.9,62.0,26.0,Waldemar Anton,4-2-3-1,Bastian Dankert,Relatório da Partida,,19.0,5.0,142.0,0.0,2024,Stuttgart
21,2024-01-27,15:30,Bundesliga,Rodada da semana 19,sáb,Em casa,V,5.0,2.0,RB Leipzig,2.2,0.4,54.0,52.1,Waldemar Anton,3-5-2002,Sven Jablonski,Relatório da Partida,,17.0,8.0,191.0,0.0,2024,Stuttgart
22,2024-02-03,15:30,Bundesliga,Rodada da semana 20,sáb,Visitante,V,3.0,1.0,Freiburg,1.7,0.7,65.0,34.7,Waldemar Anton,3-4-2003,Daniel Siebert,Relatório da Partida,,17.0,9.0,177.0,0.0,2024,Stuttgart
24,2024-02-11,15:30,Bundesliga,Rodada da semana 21,dom,Em casa,V,3.0,1.0,Mainz 05,1.9,1.4,61.0,52.005,Waldemar Anton,4-2-3-1,Deniz Aytekin,Relatório da Partida,,11.0,7.0,149.0,0.0,2024,Stuttgart
25,2024-02-17,15:30,Bundesliga,Rodada da semana 22,sáb,Visitante,V,2.0,1.0,Darmstadt 98,1.6,1.7,43.0,17.81,Waldemar Anton,4-2-3-1,Tobias Welz,Relatório da Partida,,14.0,4.0,171.0,0.0,2024,Stuttgart
26,2024-02-24,15:30,Bundesliga,Rodada da semana 23,sáb,Em casa,E,1.0,1.0,Köln,2.2,0.7,74.0,54.5,Waldemar Anton,4-2-3-1,Patrick Ittrich,Relatório da Partida,,13.0,5.0,140.0,1.0,2024,Stuttgart
1,2023-08-19,18:30,Bundesliga,Rodada da semana 1,sáb,Em casa,V,1.0,0.0,Köln,1.8,1.2,66.0,81.365,Emre Can,4-2-3-1,Deniz Aytekin,Relatório da Partida,,13.0,2.0,125.0,0.0,2024,Dortmund
2,2023-08-26,15:30,Bundesliga,Rodada da semana 2,sáb,Visitante,E,1.0,1.0,Bochum,1.3,1.0,64.0,26.0,Emre Can,4-1-4-1,Robert Schröder,Relatório da Partida,,14.0,3.0,154.0,0.0,2024,Dortmund
3,2023-09-01,20:30,Bundesliga,Rodada da semana 3,sex,Em casa,E,2.0,2.0,Heidenheim,3.4,2.1,62.0,81.365,Emre Can,4-3-2003,Tobias Reichel,Relatório da Partida,,18.0,7.0,183.0,2.0,2024,Dortmund
4,2023-09-16,15:30,Bundesliga,Rodada da semana 4,sáb,Visitante,V,4.0,2.0,Freiburg,2.3,1.0,50.0,34.7,Emre Can,4-3-2003,Tobias Stieler,Relatório da Partida,,15.0,7.0,138.0,0.0,2024,Dortmund
6,2023-09-23,15:30,Bundesliga,Rodada da semana 5,sáb,Em casa,V,1.0,0.0,Wolfsburg,1.7,0.5,63.0,81.365,Gregor Kobel,3-4-2003,Sven Jablonski,Relatório da Partida,,18.0,4.0,194.0,2.0,2024,Dortmund
7,2023-09-29,20:30,Bundesliga,Rodada da semana 6,sex,Visitante,V,3.0,1.0,Hoffenheim,1.6,1.9,47.0,30.15,Gregor Kobel,4-2-3-1,Florian Badstübner,Relatório da Partida,,6.0,5.0,132.0,0.0,2024,Dortmund
9,2023-10-07,15:30,Bundesliga,Rodada da semana 7,sáb,Em casa,V,4.0,2.0,Union Berlin,1.6,1.4,66.0,81.365,Emre Can,4-2-3-1,Patrick Ittrich,Relatório da Partida,,14.0,7.0,166.0,0.0,2024,Dortmund
10,2023-10-20,20:30,Bundesliga,Rodada da semana 8,sex,Em casa,V,1.0,0.0,Werder Bremen,2.6,0.4,57.0,81.365,Emre Can,4-5-2001,Felix Brych,Relatório da Partida,,23.0,5.0,162.0,0.0,2024,Dortmund
12,2023-10-29,15:30,Bundesliga,Rodada da semana 9,dom,Visitante,E,3.0,3.0,Eint Frankfurt,2.2,2.2,59.0,56.5,Gregor Kobel,4-2-3-1,Robert Schröder,Relatório da Partida,,14.0,4.0,145.0,0.0,2024,Dortmund
14,2023-11-04,18:30,Bundesliga,Rodada da semana 10,sáb,Em casa,D,0.0,4.0,Bayern Munich,1.0,3.2,49.0,81.365,Gregor Kobel,4-2-3-1,Deniz Aytekin,Relatório da Partida,,15.0,1.0,202.0,1.0,2024,Dortmund
16,2023-11-11,15:30,Bundesliga,Rodada da semana 11,sáb,Visitante,D,1.0,2.0,Stuttgart,1.0,4.2,41.0,55.0,Gregor Kobel,4-3-2003,Tobias Stieler,Relatório da Partida,,5.0,1.0,209.0,0.0,2024,Dortmund
17,2023-11-25,15:30,Bundesliga,Rodada da semana 12,sáb,Em casa,V,4.0,2.0,M'Gladbach,3.2,1.0,51.0,81.365,Emre Can,4-2-3-1,Sven Jablonski,Relatório da Partida,,23.0,13.0,152.0,2.0,2024,Dortmund
19,2023-12-03,17:30,Bundesliga,Rodada da semana 13,dom,Visitante,E,1.0,1.0,Leverkusen,0.7,2.1,31.0,30.21,Emre Can,4-2-3-1,Daniel Siebert,Relatório da Partida,,6.0,2.0,159.0,0.0,2024,Dortmund
21,2023-12-09,18:30,Bundesliga,Rodada da semana 14,sáb,Em casa,D,2.0,3.0,RB Leipzig,1.5,2.8,53.0,81.365,Emre Can,4-2-3-1,Sven Jablonski,Relatório da Partida,,18.0,6.0,161.0,0.0,2024,Dortmund
23,2023-12-16,15:30,Bundesliga,Rodada da semana 15,sáb,Visitante,E,1.0,1.0,Augsburg,2.6,1.8,63.0,30.66,Emre Can,4-3-2003,Matthias Jöllenbeck,Relatório da Partida,,24.0,7.0,164.0,0.0,2024,Dortmund
24,2023-12-19,20:30,Bundesliga,Rodada da semana 16,ter,Em casa,E,1.0,1.0,Mainz 05,1.2,0.9,65.0,80.35,Emre Can,4-3-2003,Marco Fritz,Relatório da Partida,,22.0,7.0,195.0,1.0,2024,Dortmund
25,2024-01-13,18:30,Bundesliga,Rodada da semana 17,sáb,Visitante,V,3.0,0.0,Darmstadt 98,3.1,1.0,52.0,17.81,Emre Can,4-3-2003,Deniz Aytekin,Relatório da Partida,,17.0,8.0,184.0,0.0,2024,Dortmund
26,2024-01-20,15:30,Bundesliga,Rodada da semana 18,sáb,Visitante,V,4.0,0.0,Köln,3.4,1.3,61.0,50.0,Gregor Kobel,4-3-2003,Daniel Schlager,Relatório da Partida,,10.0,6.0,169.0,1.0,2024,Dortmund
27,2024-01-28,17:30,Bundesliga,Rodada da semana 19,dom,Em casa,V,3.0,1.0,Bochum,2.9,0.5,63.0,81.365,Niklas Süle,4-2-2-2,Benjamin Brand,Relatório da Partida,,17.0,4.0,148.0,1.0,2024,Dortmund
28,2024-02-02,20:30,Bundesliga,Rodada da semana 20,sex,Visitante,E,0.0,0.0,Heidenheim,0.6,1.2,69.0,15.0,Niklas Süle,4-2-2-2,Bastian Dankert,Relatório da Partida,,14.0,5.0,181.0,0.0,2024,Dortmund
29,2024-02-09,20:30,Bundesliga,Rodada da semana 21,sex,Em casa,V,3.0,0.0,Freiburg,1.9,0.3,66.0,81.365,Emre Can,4-2-2-2,Harm Osmers,Relatório da Partida,,17.0,8.0,146.0,0.0,2024,Dortmund
30,2024-02-17,15:30,Bundesliga,Rodada da semana 22,sáb,Visitante,E,1.0,1.0,Wolfsburg,1.4,1.8,63.0,28.917,Emre Can,4-2-3-1,Martin Petersen,Relatório da Partida,,12.0,5.0,214.0,2.0,2024,Dortmund
32,2024-02-25,17:30,Bundesliga,Rodada da semana 23,dom,Em casa,D,2.0,3.0,Hoffenheim,2.0,1.3,70.0,81.365,Emre Can,4-2-3-1,Marco Fritz,Relatório da Partida,,21.0,7.0,158.0,1.0,2024,Dortmund
1,2023-08-19,15:30,Bundesliga,Rodada da semana 1,sáb,Visitante,D,2.0,3.0,Leverkusen,1.6,1.4,56.0,29.464,Willi Orban,4-2-2-2,Felix Brych,Relatório da Partida,,14.0,6.0,155.0,0.0,2024,RB Leipzig
2,2023-08-25,20:30,Bundesliga,Rodada da semana 2,sex,Em casa,V,5.0,1.0,Stuttgart,1.8,1.1,54.0,46.084,Willi Orban,4-2-2-2,Frank Willenborg,Relatório da Partida,,20.0,11.0,205.0,2.0,2024,RB Leipzig
3,2023-09-03,17:30,Bundesliga,Rodada da semana 3,dom,Visitante,V,3.0,0.0,Union Berlin,1.2,0.3,64.0,22.012,Willi Orban,4-2-2-2,Daniel Schlager,Relatório da Partida,,14.0,7.0,200.0,0.0,2024,RB Leipzig
4,2023-09-16,15:30,Bundesliga,Rodada da semana 4,sáb,Em casa,V,3.0,0.0,Augsburg,1.1,1.7,54.0,44.746,Kevin Kampl,4-2-2-2,Sascha Stegemann,Relatório da Partida,,9.0,6.0,163.0,0.0,2024,RB Leipzig
6,2023-09-23,15:30,Bundesliga,Rodada da semana 5,sáb,Visitante,V,1.0,0.0,M'Gladbach,0.7,0.8,55.0,50.122,Kevin Kampl,4-4-2002,Robert Schröder,Relatório da Partida,,8.0,4.0,170.0,1.0,2024,RB Leipzig
8,2023-09-30,18:30,Bundesliga,Rodada da semana 6,sáb,Em casa,E,2.0,2.0,Bayern Munich,0.7,2.3,35.0,47.069,Kevin Kampl,4-2-2-2,Marco Fritz,Relatório da Partida,,6.0,2.0,201.0,0.0,2024,RB Leipzig
10,2023-10-07,15:30,Bundesliga,Rodada da semana 7,sáb,Em casa,E,0.0,0.0,Bochum,2.5,0.4,75.0,44.269,Kevin Kampl,4-4-2002,Timo Gerach,Relatório da Partida,,15.0,3.0,210.0,2.0,2024,RB Leipzig
11,2023-10-21,15:30,Bundesliga,Rodada da semana 8,sáb,Visitante,V,3.0,1.0,Darmstadt 98,1.9,2.4,43.0,17.81,Kevin Kampl,4-2-2-2,Harm Osmers,Relatório da Partida,,10.0,7.0,179.0,3.0,2024,RB Leipzig
13,2023-10-28,18:30,Bundesliga,Rodada da semana 9,sáb,Em casa,V,6.0,0.0,Köln,4.2,0.9,62.0,46.48,Lukas Klostermann,3-4-1-2,Benjamin Brand,Relatório da Partida,,25.0,12.0,185.0,2.0,2024,RB Leipzig
15,2023-11-04,15:30,Bundesliga,Rodada da semana 10,sáb,Visitante,D,0.0,2.0,Mainz 05,0.5,0.9,67.0,30.1,Kevin Kampl,3-4-2003,Bastian Dankert,Relatório da Partida,,10.0,1.0,181.0,0.0,2024,RB Leipzig
17,2023-11-12,19:30,Bundesliga,Rodada da semana 11,dom,Em casa,V,3.0,1.0,Freiburg,1.9,0.5,61.0,41.117,Emil Forsberg,4-4-2002,Patrick Ittrich,Relatório da Partida,,14.0,5.0,181.0,0.0,2024,RB Leipzig
